"日付","銘柄名","コード","業種","JPX日経中小型に占める個別銘柄のウェイト"
"2022/08/31","兼松","8020","卸売業","1.3753%"
"2022/08/31","山善","8051","卸売業","0.8860%"
"2022/08/31","ユアサ商事","8074","卸売業","0.7418%"
"2022/08/31","兼松エレクトロニクス","8096","情報・通信業","0.6057%"
"2022/08/31","伊藤忠エネクス","8133","卸売業","0.6339%"
"2022/08/31","加賀電子","8154","卸売業","0.8872%"
"2022/08/31","アクシアルリテイリング","8255","小売業","0.8093%"
"2022/08/31","マネックスグループ","8698","証券、商品先物取引業","1.1146%"
"2022/08/31","スパークス・グループ","8739","証券、商品先物取引業","0.3659%"
"2022/08/31","イー・ギャランティ","8771","その他金融業","0.8990%"
"2022/08/31","日本エスコン","8892","不動産業","0.3945%"
"2022/08/31","タカラレーベン","8897","不動産業","0.4180%"
"2022/08/31","シノケングループ","8909","不動産業","0.5289%"
"2022/08/31","トーセイ","8923","不動産業","0.5061%"
"2022/08/31","サンフロンティア不動産","8934","不動産業","0.4374%"
"2022/08/31","ＦＪネクストホールディングス","8935","不動産業","0.2664%"
"2022/08/31","ハマキョウレックス","9037","陸運業","0.5510%"
"2022/08/31","サカイ引越センター","9039","陸運業","0.5652%"
"2022/08/31","トランコム","9058","倉庫・運輸関連業","0.7180%"
"2022/08/31","ＮＳユナイテッド海運","9110","海運業","0.5750%"
"2022/08/31","ＧｅｎｋｙＤｒｕｇＳｔｏｒｅｓ","9267","小売業","0.4255%"
"2022/08/31","三井倉庫ホールディングス","9302","倉庫・運輸関連業","0.8350%"
"2022/08/31","乾汽船","9308","海運業","0.3247%"
"2022/08/31","ＵＳＥＮ－ＮＥＸＴＨＯＬＤＩＮＧＳ","9418","情報・通信業","0.4210%"
"2022/08/31","ファイバーゲート","9450","情報・通信業","0.1230%"
"2022/08/31","北海道電力","9509","電気・ガス業","1.1850%"
"2022/08/31","メタウォーター","9551","電気・ガス業","0.5698%"
"2022/08/31","カナモト","9678","サービス業","0.8972%"
"2022/08/31","船井総研ホールディングス","9757","サービス業","1.1460%"
"2022/08/31","福井コンピュータホールディングス","9790","情報・通信業","0.4274%"
"2022/08/31","アークランドサカモト","9842","小売業","0.6155%"
"2022/08/31","日本ＫＦＣホールディングス","9873","小売業","0.6756%"
"2022/08/31","ミロク情報サービス","9928","情報・通信業","0.3571%"
"2022/08/31","ベルク","9974","小売業","0.8683%"
"本資料は日経ならびにＪＰＸ総研の著作物であり、本資料の全部又は一部を、いかなる形式によっても日経ならびにＪＰＸ総研に無断で複写、複製、転載または流布することができません。"
